Activity,comp0,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18,comp19
STANDING,0.025121641730468124,0.02505889016702935,-0.0008944418860484524,-0.002830273424542852,0.01694401971758656,-0.007087331161568513,-0.005252436665665909,0.008978373016996636,3.450437956247096e-05,-0.003743543715391259,-0.026220364803302136,0.0334415117342757,-0.022238515698524097,0.010191146983693906,0.017660905373150227,-0.003911583059656836,-0.0015223472454150057,-0.0009459062996523201,-0.011816500947672514,0.005076942830837607
STANDING,0.03409799847026563,0.039599006500899446,-0.0010282468145326655,-0.008997457909520234,0.06948972645821284,0.023038157789871224,0.01265436486712506,0.001018489552958321,0.00014508045244196512,-0.0056451018419950046,-0.1470287967287303,0.1431238586330727,-0.07960191069028853,0.059516321579395855,0.10356281505931403,-0.051104852144622785,-0.03009478785488138,0.003436510116586604,-0.09123509110757595,0.031601648878126165
STANDING,0.03803324676013182,0.04589574751194083,-0.001137548391080565,-0.011486205819501053,0.0902496278505537,0.03354499242073466,0.018848930615166695,-0.0008490992943225915,0.0001957432495658779,-0.007099215342164854,-0.2051255908139463,0.19908467296468488,-0.11066141413511768,0.08515784961621828,0.14897802283699443,-0.07528116863449996,-0.04444805996613394,0.004951773595521727,-0.13414278817765943,0.04616300292870198
STANDING,0.032399684925598665,0.03688080208372899,-0.0010280107120962914,-0.007815573892058338,0.059251963935369,0.016569221307335694,0.008794699009662696,0.003198456317200276,0.00012833253641989897,-0.005707763278945717,-0.13112525029854466,0.13133434497626192,-0.07516404445942154,0.05498056992738399,0.09651395615299578,-0.04617176843898044,-0.02567053291546925,0.0005491592290248515,-0.07878669434457451,0.0266450419795314
STANDING,0.03750627634444907,0.0450550877888566,-0.0011679688883041626,-0.011042208260561829,0.08614286164966689,0.030049781645703922,0.016703228113587477,0.0009350634861028215,0.00019411177840108186,-0.007695264658946417,-0.2068054095879223,0.20523115925692678,-0.11693943979467906,0.08903388646834869,0.15712409111248773,-0.07751745215614769,-0.04301885056922478,0.0005559628332154162,-0.12922822988127958,0.04295006480045024
STANDING,0.03715766971056408,0.04445213098812723,-0.0011822466599935117,-0.010697710958731364,0.08299684314247961,0.027555926325317285,0.015161658307656638,0.00205717542500645,0.0001898666631659499,-0.007929532183569907,-0.20291001537728293,0.20353366726335534,-0.1172414758806523,0.08835088299621002,0.15629430401655064,-0.07585036944022687,-0.04093631248939934,-0.0012798459800342625,-0.12290224985793397,0.04028996017315791
STANDING,0.0387164892999792,0.046935923071866247,-0.0011843012819544143,-0.01178413714079991,0.09244942285259854,0.03374459971176687,0.01891973372011767,-0.00021635592710078682,0.00020518635493469733,-0.0076985434856976925,-0.21714371710195976,0.2123410382773177,-0.11892738839063446,0.09132924215019841,0.16020593127315158,-0.08063289414611599,-0.047261472930462886,0.004648883007618535,-0.14350043779758415,0.049297982826036126
STANDING,0.03518272144917825,0.0413123639747366,-0.001073884668497674,-0.009625019041329041,0.07459848964831202,0.0252428355166132,0.013952306877255538,0.0008925702991846096,0.00015964593300637844,-0.006175958499452137,-0.1642835139588492,0.16023891561522613,-0.08930839780385598,0.06740961305250699,0.11763104939308869,-0.05866351509906246,-0.03477223146647891,0.004149399631977884,-0.10611561955785598,0.036850697791798025
STANDING,0.037092503976999,0.04433896221541552,-0.0011339786245335094,-0.010768298942953645,0.08400400890750356,0.029536769565405865,0.016428744329586693,0.0005028824195287611,0.0001843644921711448,-0.007098580784766397,-0.19374370006573507,0.19019064287465592,-0.10692712462432002,0.08154953670301904,0.14317732058228064,-0.07163947756351638,-0.04169004335624383,0.0035778399149608104,-0.12716745327402343,0.04360088265676987
STANDING,0.035922090337614634,0.04246231847523384,-0.001097135048225486,-0.010034293982641876,0.0779455889432113,0.02675299728742821,0.014799785067896618,0.0007166719989517834,0.0001660496532972237,-0.006416221944861508,-0.16959914377059718,0.16507917602245495,-0.09191240275221749,0.06863762430184711,0.11923158709257642,-0.05811129953294279,-0.03356940514058999,0.003184519469789393,-0.09972001818874565,0.034133486894175016
